deviceCategory,operatingSystem,campaign,medium,continent,Product,Product_Category
,,,,,Google Small Waterproof Duffel,
,,,,,Google Men's Performance Tee Gunmetal,
,,,,,Bic Tri-Tone Twist Pen,
,,,,,Aria Bluetooth Speaker,
,,,,,Android 24 oz Contigo Addison,
,,,,,Google Men's Performance Badge Tee Navy,
,,,,,Google Adult Tee Fruit Games Dragonfruit,
,,,,,Eco-Aware Recycled Journal Combo,
,,,,,Men's Mistral Shell Jacket,
,,,,,Mens Puffer Jacket,
,,,,,Google Men's Performance Full Zip Jacket Black,
,,,,,Windup Android,
,,,,,Switch Tone Color Crayon Pen,
,,,,,Android Men's 3/4 Sleeve Raglan Henley Black,
,,,,,Google Toddler Short Sleeve T-shirt Green,
,,,,,Google Men's Short Sleeve Performance Badge Tee Navy,
,,,,,YouTube Men's Vintage Tank,
,,,,,YouTube Sticker Sheet,
,,,,,Google Women's Short Sleeve Shirt Dark Grey,
,,,,,Google Women's Short Sleeve Shirt Red,
,,,,,Nest® Protect Smoke + CO Black Wired Alarm-USA,
,,,,,Google 25 oz Clear Stainless Steel Bottle,
,,,,,Google Women's Short Sleeve Badge Tee Ice Gray,
,,,,,Google Youth Tee Fruit Games Strawberry,
,,,,,Google Youth Tee Fruit Games Pineapple,
,,,,,Men's Lotus H2X Dry Full Zip Jacket,
,,,,,Google Trucker Hat,
,,,,,YouTube Youth Short Sleeve Tee Red,
,,,,,Ballpoint LED Light Pen,
,,,,,Google Bluetooth Speaker-Power Bank,
,,,,,Android Men's Vintage Tee,
,,,,,Google Men's Short Sleeve Hero Tee Heather,
,,,,,Google Men's Quilted Insulated Vest Black,
,,,,,Android Women's Short Sleeve Hero Tee Black,
,,,,,Google Women's Scoop Neck Tee White,
,,,,,Google Executive Umbrella,
,,,,,Nest® Protect Smoke + CO Black Battery Alarm-USA,
,,,,,Android 22 oz Water Bottle Green,
,,,,,15 oz Ceramic Mug,
,,,,,Google Leather Journal (Brown),
